iter	Logloss
0	0.6689241149
1	0.6448780857
2	0.62341346
3	0.6044492997
4	0.587163488
5	0.5710154751
6	0.5551186663
7	0.544102854
8	0.5333091054
9	0.5238038321
10	0.5156897355
11	0.5076207528
12	0.5002946259
13	0.4919714492
14	0.4840434693
15	0.4783088009
16	0.4719745165
17	0.4659449476
18	0.4600246335
19	0.4544843918
20	0.4493912014
21	0.4444258893
22	0.4394323615
23	0.4348339177
24	0.4210045886
25	0.4126208742
26	0.4066119504
27	0.4039777038
28	0.401437246
29	0.3988061629
30	0.3944812076
31	0.3915638194
32	0.3897159644
33	0.3880928259
34	0.3797149357
35	0.3781285845
36	0.3738030591
37	0.3716889716
38	0.3697449998
39	0.3666989044
40	0.3570961457
41	0.3555282047
42	0.3543302082
43	0.3489241343
44	0.3471896542
45	0.3453136482
46	0.3434052807
47	0.3406330175
48	0.3386709915
49	0.3364089705
50	0.3355703544
51	0.3349068494
52	0.3336220476
53	0.3329002009
54	0.3315420672
55	0.3287544139
56	0.3270287289
57	0.3233312973
58	0.321569924
59	0.3200165437
60	0.3182961181
61	0.3175869367
62	0.3133248108
63	0.3126256901
64	0.3119867726
65	0.3112792771
66	0.3099543427
67	0.3087591863
68	0.3078198881
69	0.3063015973
70	0.3054830873
71	0.3050199185
72	0.3041003356
73	0.3030301194
74	0.3024283879
75	0.3013117124
76	0.3004511848
77	0.3000805725
78	0.2988893473
79	0.2979126285
80	0.2969960973
81	0.2959656073
82	0.2952614083
83	0.2942024314
84	0.2938000083
85	0.2933267663
86	0.2923224177
87	0.2908064894
88	0.2904499805
89	0.2901249555
90	0.2874702295
91	0.2857836256
92	0.2851432669
93	0.2832426835
94	0.2828264323
95	0.2820073468
96	0.2813954951
97	0.2809022216
98	0.2804140048
99	0.2801529419
100	0.2793464973
101	0.2791452455
102	0.2783822162
103	0.278167118
104	0.2775707435
105	0.2766317079
106	0.2761067023
107	0.2756839272
108	0.2755208993
109	0.2751774083
110	0.2749041822
111	0.2747388604
112	0.2744238445
113	0.2741846721
114	0.2731576577
115	0.2729474707
116	0.272726819
117	0.2723236789
118	0.2721580803
119	0.271704709
120	0.2712035737
121	0.2708522345
122	0.2704736886
123	0.2703148537
124	0.270158456
125	0.2696823857
126	0.2692214579
127	0.2690012784
128	0.268690806
129	0.2681088875
130	0.2679768754
131	0.2676285859
132	0.2669932158
133	0.2662720765
134	0.2660615322
135	0.2656844065
136	0.2653912133
137	0.2652327369
138	0.2648475828
139	0.2646481136
140	0.2641721258
141	0.2640245543
142	0.2638171087
143	0.2635104837
144	0.2617222633
145	0.2615658275
146	0.2611544595
147	0.2608428785
148	0.2604234119
149	0.2603153425
150	0.26020146
151	0.2596399524
152	0.2593879811
153	0.2588994786
154	0.258782641
155	0.2586515585
156	0.2576000175
157	0.2572752315
158	0.2563038979
159	0.2561247048
160	0.2556985365
161	0.2555636327
162	0.2554584777
163	0.2551435557
164	0.2549946147
165	0.2548742343
166	0.2547610023
167	0.2545398628
168	0.2543994899
169	0.2542729426
170	0.2541854654
171	0.2540998602
172	0.2537571332
173	0.253639389
174	0.2535113651
175	0.253415248
176	0.2528451017
177	0.2527457993
178	0.2524480844
179	0.2522776836
180	0.2521687828
181	0.252054402
182	0.2519571197
183	0.2518516399
184	0.2516515067
185	0.2515681853
186	0.2514593982
187	0.2511175908
188	0.2510027154
189	0.2504014282
190	0.2500807015
191	0.2497241026
192	0.2495659968
193	0.2493272362
194	0.2492331763
195	0.249127673
196	0.2488683809
197	0.2487695561
198	0.2482583318
199	0.2481026562
200	0.24790794
201	0.2477989752
202	0.2477070435
203	0.2475584499
204	0.2474434926
205	0.2473610738
206	0.2471184308
207	0.247042587
208	0.2469390319
209	0.246724709
210	0.2466229707
211	0.2464975677
212	0.2462861835
213	0.2460733109
214	0.2454282792
215	0.2452956401
216	0.2452127331
217	0.2446452264
218	0.2443183139
219	0.2441446638
220	0.2439329174
221	0.2438423706
222	0.2437133982
223	0.2436610314
224	0.2433778416
225	0.2432826955
226	0.243193299
227	0.2431371105
228	0.2430506289
229	0.2429155476
230	0.2426729068
231	0.2426040109
232	0.2425085948
233	0.2424221246
234	0.242343919
235	0.2422824303
236	0.2422027939
237	0.2420469195
238	0.2419518052
239	0.2418720083
240	0.2417076497
241	0.2414708002
242	0.2412784747
243	0.2411287341
244	0.2410257684
245	0.2409488186
246	0.2408585447
247	0.2407737558
248	0.2406822291
249	0.2404796386
250	0.2403330715
251	0.2402290878
252	0.24013909
253	0.2400508619
254	0.2399916141
255	0.2398787731
256	0.239758307
257	0.2394041586
258	0.2392715313
259	0.2388711234
260	0.2387669974
261	0.2386526613
262	0.2385652672
263	0.2384219159
264	0.2383602218
265	0.2381947159
266	0.2379773146
267	0.2378728599
268	0.2378032871
269	0.2375785526
270	0.2373888867
271	0.2373124325
272	0.2371959307
273	0.2371272992
274	0.2370536143
275	0.2369905918
276	0.2368746027
277	0.2368086451
278	0.2367394212
279	0.2366188542
280	0.2364571764
281	0.2364006502
282	0.2362980199
283	0.2362104485
284	0.2360212638
285	0.2359205435
286	0.235832131
287	0.235782153
288	0.2356857266
289	0.2355763038
290	0.2354828639
291	0.2354355995
292	0.2352635827
293	0.2348360113
294	0.2347648753
295	0.2346640264
296	0.2342992445
297	0.2342189957
298	0.2341481007
299	0.2340530335
300	0.2339769265
301	0.2339000701
