iter	Passed	Remaining
0	277	553980
1	361	361501
2	460	306294
3	547	273071
4	617	246506
5	686	227986
6	766	218098
7	866	215738
8	964	213312
9	1067	212440
10	1150	208044
11	1227	203434
12	1317	201398
13	1411	200277
14	1491	197342
15	1561	193672
16	1634	190684
17	1703	187562
18	1773	184878
19	1873	185439
20	1959	184682
21	2031	182643
22	2104	180915
23	2175	179095
24	2246	177492
25	2320	176144
26	2409	176097
27	2503	176289
28	2578	175222
29	2651	174132
30	2717	172623
31	2787	171401
32	2857	170307
33	2919	168841
34	3014	169242
35	3101	169206
36	3170	168216
37	3244	167544
38	3348	168354
39	3438	168464
40	3513	167899
41	3584	167103
42	3673	167172
43	3770	167601
44	3838	166765
45	3907	165965
46	3982	165489
47	4057	164996
48	4121	164102
49	4192	163519
50	4265	163004
51	4330	162228
52	4398	161568
53	4467	161012
54	4529	160182
55	4598	159650
56	4671	159228
57	4747	158952
58	4819	158540
59	4891	158156
60	4978	158254
61	5108	159682
62	5198	159848
63	5263	159233
64	5328	158634
65	5396	158145
66	5463	157634
67	5532	157182
68	5642	157907
69	5728	157934
70	5792	157383
71	5862	156974
72	5929	156518
73	5992	155959
74	6055	155415
75	6129	155179
76	6191	154635
77	6259	154244
78	6321	153726
79	6389	153353
80	6463	153134
81	6546	153127
82	6608	152641
83	6682	152435
84	6747	152006
85	6815	151690
86	6880	151298
87	6959	151217
88	7035	151055
89	7106	150812
90	7175	150534
91	7244	150245
92	7310	149902
93	7399	150028
94	7511	150631
95	7603	150800
96	7708	151237
97	7828	151945
98	7975	153147
99	8095	153809
100	8192	154038
101	8309	154617
102	8408	154864
103	8504	155042
104	8605	155306
105	8705	155548
106	8784	155407
107	8869	155386
108	8960	155455
109	9048	155465
110	9143	155596
111	9225	155519
112	9331	155820
113	9457	156465
114	9523	156098
115	9669	157053
116	9761	157093
117	9880	157592
118	9982	157796
119	10054	157517
120	10161	157799
121	10350	159332
122	10478	159902
123	10543	159512
124	10624	159369
125	10773	160230
126	10849	160002
127	10935	159929
128	11034	160047
129	11135	160186
130	11206	159884
131	11273	159542
132	11374	159668
133	11468	159706
134	11594	160172
135	11690	160230
136	11757	159886
137	11821	159508
138	11894	159245
139	12156	161506
140	12265	161716
141	12330	161332
142	12405	161093
143	12474	160776
144	12542	160462
145	12630	160394
146	12824	161658
147	12953	162095
148	13022	161776
149	13092	161474
150	13162	161175
151	13257	161180
152	13344	161092
153	13415	160807
154	13505	160761
155	13593	160682
156	13668	160456
157	13760	160427
158	13853	160399
159	13921	160092
160	13992	159824
161	14090	159861
162	14182	159839
163	14249	159525
164	14315	159201
165	14379	158870
166	14448	158587
167	14523	158373
168	14592	158103
169	14662	157834
170	14727	157518
171	14791	157199
172	14855	156886
173	14927	156651
174	14994	156375
175	15061	156089
176	15166	156210
177	15244	156039
178	15316	155821
179	15385	155567
180	15456	155333
181	15523	155061
182	15587	154769
183	15653	154494
184	15724	154268
185	15791	154005
186	15854	153710
187	15921	153459
188	15987	153192
189	16056	152962
190	16125	152723
191	16200	152555
192	16271	152349
193	16345	152165
194	16413	151929
195	16480	151685
196	16549	151469
197	16613	151199
198	16689	151044
199	16761	150854
200	16825	150589
201	16892	150359
202	16961	150144
203	17028	149920
204	17097	149708
205	17167	149503
206	17242	149353
207	17308	149121
208	17407	149168
209	17516	149310
210	17585	149101
211	17663	148974
212	17730	148752
213	17804	148594
214	17875	148411
215	17945	148213
216	18011	147991
217	18077	147770
218	18153	147635
219	18225	147459
220	18298	147298
221	18365	147091
222	18434	146893
223	18498	146666
224	18564	146449
225	18639	146310
226	18700	146065
227	18770	145881
228	18837	145683
229	18906	145499
230	18965	145241
231	19032	145040
232	19093	144799
233	19168	144668
234	19239	144503
235	19312	144353
236	19383	144189
237	19463	144096
238	19533	143927
239	19608	143794
240	19695	143753
241	19793	143787
242	19871	143679
243	19943	143527
244	20016	143381
245	20082	143186
246	20149	143003
247	20215	142809
248	20290	142686
249	20362	142535
250	20428	142351
251	20498	142189
252	20561	141982
253	20627	141790
254	20694	141618
255	20766	141472
256	20837	141325
257	20906	141156
258	20965	140933
259	21041	140816
260	21133	140809
261	21218	140757
262	21300	140682
263	21387	140636
264	21474	140596
265	21547	140464
266	21623	140347
267	21694	140207
268	21762	140039
269	21833	139897
270	21908	139779
271	21990	139704
272	22100	139809
273	22169	139654
274	22233	139467
275	22306	139337
276	22380	139209
277	22445	139034
278	22514	138879
279	22579	138700
280	22644	138528
281	22715	138387
282	22779	138205
283	22851	138074
284	22922	137938
285	22992	137796
286	23067	137681
287	23136	137535
288	23204	137382
289	23273	137233
290	23342	137087
291	23405	136904
292	23472	136748
293	23539	136592
294	23610	136460
295	23675	136293
296	23740	136130
297	23806	135968
298	23874	135819
299	23944	135685
300	24016	135561
301	24085	135421
302	24156	135291
303	24236	135211
304	24385	135522
305	24499	135629
306	24603	135680
307	24677	135564
308	24744	135413
309	24844	135442
310	24947	135484
311	25023	135383
312	25107	135325
313	25193	135274
314	25270	135177
315	25364	135171
316	25457	135158
317	25527	135021
318	25589	134845
319	25657	134702
320	25752	134696
321	25822	134564
322	25888	134409
323	25954	134258
324	26028	134146
325	26095	134000
326	26156	133820
327	26230	133709
328	26306	133610
329	26382	133511
330	26446	133352
331	26569	133487
332	26678	133550
333	26766	133509
334	26831	133358
335	26908	133259
336	27040	133435
337	27231	133903
338	27777	136102
339	27871	136080
340	27944	135954
341	28012	135802
342	28079	135650
343	28145	135489
344	28208	135318
345	28284	135210
346	28428	135424
347	28514	135361
348	28588	135243
349	28656	135097
350	28732	134985
351	28797	134823
352	28859	134651
353	28975	134725
354	29058	134651
355	29128	134514
356	29196	134369
357	29264	134224
358	29339	134110
359	29410	133983
360	29482	133856
361	29581	133853
362	29695	133915
363	29765	133780
364	29832	133634
365	29895	133468
366	29958	133303
367	30044	133240
368	30184	133416
369	30256	133291
370	30322	133141
371	30389	132996
372	30479	132949
373	30622	133134
374	30689	132989
375	30764	132874
376	30831	132732
377	30971	132898
378	31040	132761
379	31113	132643
380	31357	133249
381	31569	133715
382	31934	134823
383	32062	134928
384	32134	134798
385	32211	134685
386	32271	134507
387	32334	134336
388	32400	134184
389	32490	134128
390	32559	133986
391	32627	133838
392	32697	133701
393	32767	133565
394	32842	133449
395	32912	133314
396	32982	133177
397	33067	133101
398	33138	132969
399	33209	132839
400	33291	132751
401	33437	132920
402	33597	133139
403	33706	133158
404	33775	133015
405	33843	132873
406	33970	132961
407	34063	132912
408	34150	132845
409	34349	133210
410	34497	133372
411	34664	133610
412	34736	133479
413	34817	133381
414	34971	133564
415	35196	134015
416	35349	134191
417	35693	135089
418	35791	135050
419	35877	134966
420	36038	135167
421	36122	135072
422	36193	134933
423	36401	135302
424	36500	135266
425	36608	135260
426	36761	135424
427	36856	135371
428	36924	135218
429	37016	135153
430	37152	135249
431	37258	135234
432	37329	135092
433	37442	135103
434	37586	135224
435	37684	135178
436	37807	135223
437	37878	135082
438	38024	135207
439	38152	135268
440	38243	135196
441	38354	135194
442	38447	135130
443	38521	135000
444	38584	134828
445	38648	134662
446	38745	134611
447	38833	134531
448	38905	134391
449	38976	134251
450	39046	134108
451	39107	133934
452	39174	133781
453	39248	133652
454	39319	133514
455	39390	133375
456	39464	133247
457	39532	133099
458	39597	132939
459	39671	132814
460	39748	132695
461	39815	132547
462	39880	132389
463	39951	132252
464	40017	132102
465	40092	131978
466	40155	131818
467	40221	131664
468	40287	131515
469	40354	131366
470	40415	131200
471	40483	131055
472	40552	130916
473	40625	130791
474	40685	130623
475	40758	130494
476	40824	130347
477	40895	130215
478	40966	130083
479	41088	130112
480	41169	130013
481	41241	129885
482	41314	129759
483	41373	129592
484	41437	129438
485	41502	129289
486	41568	129143
487	41633	128994
488	41696	128840
489	41767	128711
490	41836	128577
491	41903	128436
492	41976	128313
493	42043	128174
494	42114	128044
495	42181	127905
496	42251	127774
497	42314	127623
498	42378	127474
499	42445	127335
500	42514	127205
501	42581	127065
502	42654	126947
503	42720	126804
504	42781	126648
505	42857	126540
506	42922	126395
507	42993	126272
508	43069	126162
509	43144	126049
510	43211	125913
511	43309	125868
512	43405	125816
513	43473	125683
514	43552	125582
515	43613	125430
516	43684	125307
517	43748	125165
518	43817	125037
519	43883	124899
520	43954	124777
521	44024	124651
522	44097	124536
523	44181	124449
524	44255	124337
525	44317	124188
526	44387	124066
527	44457	123942
528	44523	123806
529	44590	123676
530	44658	123546
531	44724	123411
532	44796	123296
533	44866	123172
534	44939	123057
535	45010	122938
536	45087	122837
537	45155	122709
538	45224	122584
539	45296	122467
540	45366	122346
541	45425	122197
542	45491	122064
543	45587	122014
544	45672	121932
545	45747	121824
546	45817	121705
547	45886	121583
548	45954	121455
549	46022	121331
550	46094	121217
551	46155	121075
552	46221	120944
553	46286	120813
554	46359	120701
555	46429	120583
556	46498	120462
557	46566	120338
558	46635	120219
559	46700	120087
560	46773	119976
561	46836	119841
562	46899	119705
563	46968	119587
564	47033	119457
565	47103	119339
566	47187	119257
567	47263	119157
568	47356	119098
569	47427	118984
570	47495	118863
571	47561	118738
572	47630	118620
573	47697	118496
574	47764	118374
575	47835	118260
576	47945	118244
577	48030	118164
578	48103	118056
579	48171	117936
580	48236	117809
581	48300	117679
582	48365	117554
583	48432	117431
584	48498	117308
585	48556	117164
586	48622	117041
587	48706	116961
588	48767	116825
589	48834	116705
590	48900	116583
591	48968	116465
592	49034	116342
593	49098	116217
594	49166	116098
595	49232	115976
596	49301	115863
597	49366	115738
598	49436	115626
599	49505	115513
600	49578	115408
601	49641	115279
602	49713	115173
603	49781	115057
604	49852	114950
605	49919	114830
606	49988	114718
607	50052	114594
608	50131	114503
609	50239	114481
610	50318	114390
